agricultureStructureIndicator,asOfDate,basementEnclosureCrawlspaceType,policyCount,crsClassificationCode,dateOfLoss,elevatedBuildingIndicator,elevationCertificateIndicator,elevationDifference,baseFloodElevation,ratedFloodZone,houseWorship,locationOfContents,lowestAdjacentGrade,lowestFloorElevation,numberOfFloorsInTheInsuredBuilding,nonProfitIndicator,obstructionType,occupancyType,originalConstructionDate,originalNBDate,amountPaidOnBuildingClaim,amountPaidOnContentsClaim,amountPaidOnIncreasedCostOfComplianceClaim,postFIRMConstructionIndicator,rateMethod,smallBusinessIndicatorBuilding,totalBuildingInsuranceCoverage,totalContentsInsuranceCoverage,yearOfLoss,primaryResidenceIndicator,buildingDamageAmount,buildingDeductibleCode,netBuildingPaymentAmount,buildingPropertyValue,causeOfDamage,condominiumCoverageTypeCode,contentsDamageAmount,contentsDeductibleCode,netContentsPaymentAmount,contentsPropertyValue,disasterAssistanceCoverageRequired,eventDesignationNumber,ficoNumber,floodCharacteristicsIndicator,floodWaterDuration,floodproofedIndicator,floodEvent,iccCoverage,netIccPaymentAmount,nfipRatedCommunityNumber,nfipCommunityNumberCurrent,nfipCommunityName,nonPaymentReasonContents,nonPaymentReasonBuilding,numberOfUnits,buildingReplacementCost,contentsReplacementCost,replacementCostBasis,stateOwnedIndicator,waterDepth,floodZoneCurrent,buildingDescriptionCode,rentalPropertyIndicator,state,reportedCity,reportedZipCode,countyCode,censusTract,censusBlockGroupFips,latitude,longitude,id
TRUE,2019-10-19T03:42:08.849Z,-1,1,-1,1995-01-11T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1960-01-01T00:00:00.000Z,1994-10-03T00:00:00.000Z,1648.85,0,0,TRUE,7,TRUE,100000,25000,1995,TRUE,2414,0,1648.85,100000,1,N,0,0,0,0,0,NA,968,0,0,TRUE,Flooding,0,0,060655,NA,"BEVERLY HILLS, CITY OF",97,NA,1,0,0,A,TRUE,0,NA,0,FALSE,CA,Currently Unavailable,90210,06037,06037261200,060372612002,34.1,-118.4,832dce21-3a7e-4320-b94b-115604090435
TRUE,2020-01-22T16:55:53.194Z,-1,1,9,2009-11-14T00:00:00.000Z,TRUE,NA,1,9,AE,TRUE,-1,NA,9.5,2,TRUE,0,1,1932-01-01T00:00:00.000Z,1990-07-07T00:00:00.000Z,4368.69,0,0,TRUE,1,TRUE,214100,25500,2009,TRUE,4869,0,4368.69,74993,2,N,0,0,0,0,0,NA,247,0,0,TRUE,Nor'easter,30000,0,510104,NA,"NORFOLK, CITY OF",20,NA,1,263534,0,A,TRUE,0,NA,1,FALSE,VA,Currently Unavailable,23508,51710,51710002800,517100028004,36.9,-76.3,355fb6cc-2d4b-4397-89de-abbabe5c1aad
TRUE,2020-01-22T16:55:53.194Z,-1,1,8,2005-08-29T00:00:00.000Z,TRUE,NA,5,13,AE,TRUE,-1,NA,18,2,TRUE,10,1,1926-01-01T00:00:00.000Z,1997-06-16T00:00:00.000Z,250000,100000,0,TRUE,1,TRUE,250000,100000,2005,TRUE,323518,0,250000,329500,1,N,100500,0,100000,0,0,NA,653,0,0,TRUE,Hurricane Katrina,30000,0,285253,NA,"GULFPORT, CITY OF",NA,NA,1,330000,0,A,TRUE,10,NA,0,FALSE,MS,Currently Unavailable,39501,28047,28047001400,280470014001,30.4,-89.1,ae5d5b24-bb49-4639-b82f-046b67ebbf93
TRUE,2019-09-19T13:45:58.425Z,-1,1,8,1997-04-05T00:00:00.000Z,TRUE,NA,-1,NA,AE,TRUE,-1,NA,NA,1,TRUE,10,1,1959-01-01T00:00:00.000Z,1996-05-10T00:00:00.000Z,4075.48,0,0,TRUE,1,TRUE,40000,25000,1997,TRUE,7512,9,4075.48,40000,1,N,0,9,0,0,0,NA,0,0,0,TRUE,NA,0,0,220036,NA,"SHREVEPORT, CITY OF",97,NA,1,0,0,A,TRUE,0,NA,0,FALSE,LA,Currently Unavailable,71119,22017,22017024400,220170244002,32.5,-93.9,e97e4fc9-80cd-4628-b4e0-c61b03bd36e8
TRUE,2019-09-19T17:00:12.388Z,-1,1,-1,1995-10-04T00:00:00.000Z,TRUE,NA,4,9,AE,TRUE,-1,NA,13,1,TRUE,0,1,1978-02-01T00:00:00.000Z,1987-12-29T00:00:00.000Z,8208.62,0,0,TRUE,1,TRUE,185000,34800,1995,TRUE,10374,0,8208.62,185000,1,N,0,0,0,0,0,NA,586,0,0,TRUE,Hurricane Opal,0,0,120173,NA,OKALOOSA COUNTY *,97,NA,0,0,0,A,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32541,12091,12091023303,120910233032,30.4,-86.5,ba265335-9ace-40c8-8264-518aec5b6a0d
TRUE,2020-01-22T16:55:53.194Z,-1,1,7,2004-09-15T00:00:00.000Z,TRUE,NA,4,9,AE,TRUE,-1,NA,13,1,TRUE,0,1,1978-02-01T00:00:00.000Z,1987-12-29T00:00:00.000Z,35521.95,0,0,TRUE,1,TRUE,250000,25000,2004,TRUE,35678,0,35521.95,200000,1,N,0,0,0,0,0,NA,643,0,0,TRUE,Hurricane Ivan,30000,0,120173,NA,OKALOOSA COUNTY *,97,NA,0,250000,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32541,12091,12091023303,120910233032,30.4,-86.5,112e0da5-ab3b-4d1d-993f-1e00fd02725f
TRUE,2020-01-22T16:55:53.194Z,2,1,9,1998-09-29T00:00:00.000Z,TRUE,NA,0,10,VE,TRUE,-1,NA,9.5,2,TRUE,60,1,1996-01-01T00:00:00.000Z,1997-03-10T00:00:00.000Z,2900,0,0,TRUE,1,TRUE,174000,12000,1998,TRUE,3400,0,2900,139200,1,N,0,0,0,0,0,NA,133,0,0,TRUE,Hurricane Georges (Panhandle),15000,0,120080,NA,ESCAMBIA COUNTY*,97,NA,1,174000,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32566,12113,12113010900,121130109004,30.4,-87.2,e445655a-5244-4bd4-bdeb-af48293d77c4
TRUE,2019-09-19T06:12:43.388Z,-1,1,-1,1996-09-05T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,3,TRUE,0,1,1984-01-01T00:00:00.000Z,1990-09-09T00:00:00.000Z,NA,NA,NA,TRUE,7,TRUE,20000,5000,1996,TRUE,392,0,0,900,1,N,465,0,0,0,0,NA,593,0,0,TRUE,Hurricane Fran,0,0,510200,NA,GREENE COUNTY *,01,01,1,0,0,A,TRUE,0,NA,0,FALSE,VA,Currently Unavailable,22973,51079,51079030102,510790301022,38.3,-78.4,2df6b2d9-0a09-4f25-9fa9-c28d9ebde174
TRUE,2020-01-22T16:55:53.194Z,1,1,-1,1999-09-15T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,2,TRUE,10,1,1976-01-01T00:00:00.000Z,1998-08-15T00:00:00.000Z,NA,NA,NA,TRUE,7,TRUE,30000,8000,1999,TRUE,396,0,0,1560,1,N,0,0,0,0,0,NA,625,0,0,TRUE,Hurricane Floyd,15000,0,450104,NA,HORRY COUNTY *,97,01,1,1560,0,A,TRUE,0,NA,0,FALSE,SC,Currently Unavailable,29572,45051,45051050200,450510502001,33.8,-78.8,a7ada3ec-2ed2-4973-af6f-bc7832ea7431
TRUE,2020-01-22T16:55:53.194Z,-1,1,8,2004-09-16T00:00:00.000Z,TRUE,NA,-1,NA,X,TRUE,-1,NA,NA,1,TRUE,10,1,1966-12-01T00:00:00.000Z,2000-10-13T00:00:00.000Z,239509.58,60000,0,TRUE,7,TRUE,250000,60000,2004,TRUE,240010,0,239509.58,240010,1,N,94665,0,60000,0,0,NA,643,0,0,TRUE,Hurricane Ivan,30000,0,120080,NA,ESCAMBIA COUNTY*,NA,NA,1,250000,0,R,TRUE,0,NA,0,FALSE,FL,Currently Unavailable,32507,12033,12033002603,120330026032,30.3,-87.4,4140c47a-63dd-4b51-9b8b-de71a7a81b98
