disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
2456,2002-07-30T00:00:00.000Z,CA - PINES FIRE - 07/30/02,2002-07-29T00:00:00.000Z,2002-08-22T00:00:00.000Z,Fire Suppression,CA,California                    ,Fire,2002-07-31T00:00:00.000Z,2010-08-02T00:00:00.000Z,2010-07-28T00:00:00.000Z,9,0,0,1,0,a58eeb5a-fec1-476c-a90f-d5cb5d3714ee,7d923943a353b6d7943de1356cb719ac8e038187,2023-09-28T23:41:26.075Z
2455,2002-07-29T00:00:00.000Z,OR - CACHE MOUNTAIN FIRE - 07/28/02,2002-07-28T00:00:00.000Z,2002-08-01T00:00:00.000Z,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2004-07-13T00:00:00.000Z,2004-06-17T00:00:00.000Z,10,0,0,1,0,e2c2aad8-5c3c-40cf-bf64-1e796f12e0a2,7e99ed0bbed71afd8c0398d5beb7aa32c4d705a3,2023-09-28T23:41:26.075Z
2454,2002-07-28T00:00:00.000Z,TIMBERED ROCK FIRE,2002-07-27T00:00:00.000Z,2002-08-05T00:00:00.000Z,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2005-09-29T00:00:00.000Z,2004-06-17T00:00:00.000Z,10,0,0,1,0,b62b86e4-b12a-47a0-869d-f16d90c29905,805a184973fc591142a8d2151248d0e1329e21f0,2023-09-28T23:41:26.075Z
2453,2002-07-28T00:00:00.000Z,OR - BISCUIT FIRE - 07/28/02,2002-07-27T00:00:00.000Z,,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-01-21T00:00:00.000Z,10,0,0,1,0,b7409a90-edbb-45b8-888a-19b867dfa065,7708690337e414e262b2ebfaf0de5612d58aa951,2023-09-28T23:41:26.075Z
2452,2002-07-26T00:00:00.000Z,OR - SHELDON RIDGE FIRE - 07/25/02,2002-07-25T00:00:00.000Z,2002-08-01T00:00:00.000Z,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2004-09-13T00:00:00.000Z,2004-08-03T00:00:00.000Z,10,0,0,1,0,d218f004-046b-405b-a0e0-62b5e3fa93cc,5bf50a3752dfe321b64032af0e033a87b9e3232e,2023-09-28T23:41:26.075Z
2451,2002-07-25T00:00:00.000Z,WA - PICKENS FIRE - 07/24/02,2002-07-24T00:00:00.000Z,2002-07-26T00:00:00.000Z,Fire Suppression,WA,Washington                    ,Fire,2002-08-09T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-01-21T00:00:00.000Z,10,0,0,1,0,fec3a847-461f-4090-a533-4bde21d0c7ba,052f6af97d7b171e1e4cc9eb0e3e51531511e52f,2023-09-28T23:41:26.075Z
2449,2002-07-20T00:00:00.000Z,WA - DEER POINT FIRE - 07/20/02,2002-07-20T00:00:00.000Z,2002-07-27T00:00:00.000Z,Fire Suppression,WA,Washington                    ,Fire,2002-08-09T00:00:00.000Z,2005-03-16T00:00:00.000Z,2005-01-21T00:00:00.000Z,10,0,0,1,0,7ba12283-bb52-40c3-91ea-087e3a0646da,56b25ff4daec2ce2563043df8a66287d95c535f7,2023-09-28T23:41:26.075Z
1429,2002-07-19T00:00:00.000Z,SEVERE STORMS AND FLOODING,2002-06-21T00:00:00.000Z,2002-06-25T00:00:00.000Z,Major Disaster,WI,Wisconsin                     ,Severe Storm,2002-07-09T00:00:00.000Z,2011-01-06T00:00:00.000Z,2011-01-03T00:00:00.000Z,5,0,0,1,1,b30d60b3-aee3-4a0f-ac4a-520504f6db60,3b7911dd402d1c4a590093b4f45cf74516ee83f8,2023-09-28T23:41:26.075Z
2448,2002-07-19T00:00:00.000Z,OR - FLAGTAIL FIRE - 07/19/02,2002-07-18T00:00:00.000Z,2002-07-21T00:00:00.000Z,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2004-02-25T00:00:00.000Z,2004-01-22T00:00:00.000Z,10,0,0,1,0,eac24386-ade0-44dc-9ccf-0a99c2b0049c,f753bbfff81301c3f9ce10ac57402b8c8a0b2886,2023-09-28T23:41:26.075Z
2447,2002-07-18T00:00:00.000Z,BIG ELK FIRE,2002-07-17T00:00:00.000Z,2002-08-05T00:00:00.000Z,Fire Suppression,CO,Colorado                      ,Fire,2002-07-26T00:00:00.000Z,2008-09-25T00:00:00.000Z,2008-09-05T00:00:00.000Z,8,0,0,1,0,148ee044-1d48-45ea-865e-c4a9e0c24b3a,6495819aba740b84eb59833a484a8ec716440c15,2023-09-28T23:41:26.075Z
2446,2002-07-17T00:00:00.000Z,NV - LOST CABIN FIRE - 07/17/02,2002-07-14T00:00:00.000Z,2002-07-27T00:00:00.000Z,Fire Suppression,NV,Nevada                        ,Fire,2002-08-28T00:00:00.000Z,2004-09-13T00:00:00.000Z,2004-08-20T00:00:00.000Z,9,0,0,1,0,1a4519e0-9751-4bba-8f6e-6cccfdb68f17,7c4e7a03ec936c042a8bfb2c90945c0bb7cd786a,2023-09-28T23:41:26.075Z
2445,2002-07-17T00:00:00.000Z,OR - SQUIRE PEAK/WALL CREEK FIRE - 07/17/02,2002-07-16T00:00:00.000Z,2002-07-21T00:00:00.000Z,Fire Suppression,OR,Oregon                        ,Fire,2002-08-09T00:00:00.000Z,2004-09-13T00:00:00.000Z,2004-08-03T00:00:00.000Z,10,0,0,1,0,32e3e140-2df4-4ea6-bfe9-d8c1d25a7a45,ec4b016c4c57ce8ce2da8ec5d40dca6aa4119503,2023-09-28T23:41:26.075Z
