id,declarationTitle,incidentType,state,declarationType,declarationDate,incidentBeginDate,incidentEndDate
296f0485-026e-4f88-8120-b880ad7a0d13,PARLEYS CANYON FIRE,Fire,UT,FM,2021-08-14,2021-08-14,2021-08-18
bc7b13fa-ae94-4f17-bd55-2cad43e19b3f,PARLEYS CANYON FIRE,Fire,UT,FM,2021-08-14,2021-08-14,2021-08-18
f081cbf4-240f-4911-81f0-6cc889494382,BEDROCK FIRE,Fire,ID,FM,2021-08-13,2021-08-12,2021-08-17
0f14a74a-a7cb-487c-8a8e-8eca3e0a5e72,BEDROCK FIRE,Fire,ID,FM,2021-08-13,2021-08-12,2021-08-17
6b583c02-5442-4a11-ac9c-0eac6b2f6593,RICHARD SPRING FIRE,Fire,MT,FM,2021-08-10,2021-08-10,NA
8113a8ba-dcc6-41ec-9cdf-46a62e5d32d4,RIVER FIRE,Fire,CA,FM,2021-08-05,2021-08-04,NA
11a33d20-1b74-44ec-8de8-f57f58aad435,MANA ROAD FIRE,Fire,HI,FM,2021-08-01,2021-08-01,2021-08-03
a5d43977-054d-454d-9dc2-871f10717d78,PF FIRE,Fire,MT,FM,2021-07-28,2021-07-28,2021-07-31
c31b48cc-065a-4469-b047-92b1d267c7e9,PF FIRE,Fire,MT,FM,2021-07-28,2021-07-28,2021-07-31
2f842e45-db14-4394-8ae8-ee526e7cb985,TAMARACK FIRE,Fire,NV,FM,2021-07-22,2021-07-22,NA
9984c3a2-706d-4217-a959-27bd49c0652d,CEDAR CREEK FIRE,Fire,WA,FM,2021-07-20,2021-07-19,2021-08-22
be466c80-b70f-4973-88bf-7b37d69a5d7a,DIXIE FIRE,Fire,CA,FM,2021-07-20,2021-07-20,NA
9283a085-2a5c-4037-8e88-2d74015f8694,DIXIE FIRE,Fire,CA,FM,2021-07-20,2021-07-20,NA
04a670d4-7356-421e-a04e-d54e60a10537,BUFFALO WILDFIRE,Fire,MT,FM,2021-07-17,2021-07-16,NA
8ba2aaf9-80e7-4ee0-a85b-b671266f66b0,RED APPLE FIRE,Fire,WA,FM,2021-07-14,2021-07-13,2021-07-20
bc139c61-956e-4479-983d-8173fdee7250,CHUWEAH CREEK FIRE,Fire,WA,FM,2021-07-13,2021-07-12,2021-07-26
9c223822-8f7d-4a36-9b02-0166c12c4b08,BOOTLEG FIRE,Fire,OR,FM,2021-07-10,2021-07-10,2021-08-15
3b3139f3-ba50-457d-bab4-0df6b26b81f1,BOOTLEG FIRE,Fire,OR,FM,2021-07-10,2021-07-10,2021-08-15
702d0659-fe8c-4098-bb40-c9087d72ffc3,ANDRUS FIRE,Fire,WA,FM,2021-07-06,2021-07-05,2021-07-11
5c07bc4b-bf63-4ed5-8847-c83d12cdf9e1,0419 FIRE,Fire,OR,FM,2021-06-30,2021-06-29,2021-06-30
7ff6879b-daed-4f38-973f-d63ffd2171e3,LAVA FIRE,Fire,CA,FM,2021-06-29,2021-06-24,2021-07-06
2fcf82d4-ba86-4c78-9e9a-81e007a3381a,ROBERTSON DRAW FIRE,Fire,MT,FM,2021-06-16,2021-06-15,2021-06-20
fef71538-5d2d-49a9-a4c7-66bebdabd58e,PACK CREEK FIRE,Fire,UT,FM,2021-06-10,2021-06-10,2021-06-26
05bc9cd3-a8af-4e2c-a0ca-a128c54ab82d,JACKS VALLEY FIRE,Fire,NV,FM,2021-06-09,2021-06-09,NA
48d81e59-842e-43f5-be29-3380350b01ba,TELEGRAPH FIRE,Fire,AZ,FM,2021-06-06,2021-06-06,NA
588b398e-814c-4b24-bc2d-559951bd9afd,TELEGRAPH FIRE,Fire,AZ,FM,2021-06-06,2021-06-06,NA
98be8c83-40d2-40fc-a807-9de756116209,MAMMOTH FIRE,Fire,UT,FM,2021-06-05,2021-06-05,2021-06-13
9c27f7d9-cc48-410a-ac54-af03ca3c7928,SPUR FIRE,Fire,AZ,FM,2021-05-27,2021-05-27,NA
66c6747f-dd92-439a-b643-a978dce8f2cd,THREE RIVERS FIRE,Fire,NM,FM,2021-04-27,2021-04-26,NA
8ea4c59c-82d3-43a1-a4d1-e4d33d2b02a5,MARGO FIRE,Fire,AZ,FM,2021-04-08,2021-04-08,NA
8b0d3509-1078-4134-b0fc-073fead80b09,SCHROEDER FIRE,Fire,SD,FM,2021-03-29,2021-03-29,2021-04-04
e80c79df-f1f3-4968-8606-e51f1a9d416a,BOND FIRE,Fire,CA,FM,2020-12-03,2020-12-03,NA
19a246a6-be70-455a-9b74-100f75a7fdd5,PINEHAVEN FIRE,Fire,NV,FM,2020-11-17,2020-11-17,2020-11-18
59532f04-6929-4749-bae7-e8988881356d,BLUE RIDGE FIRE,Fire,CA,FM,2020-10-26,2020-10-26,NA
2a65f8b5-aeb4-428c-9661-fa8143933fa3,BLUE RIDGE FIRE,Fire,CA,FM,2020-10-26,2020-10-26,NA
3c7206fb-74f4-434e-af91-8407de4fd6b8,BLUE RIDGE FIRE,Fire,CA,FM,2020-10-26,2020-10-26,NA
9b621551-9426-4850-ae84-a46e92e27965,SILVERADO FIRE,Fire,CA,FM,2020-10-26,2020-10-26,NA
bdc973b3-d75e-46e9-9b65-a79c962d248a,CALWOOD FIRE,Fire,CO,FM,2020-10-17,2020-10-17,2020-10-24
b8ecf077-bd0a-4e6a-949f-a68e743c09c2,EAST TROUBLESOME FIRE,Fire,CO,FM,2020-10-17,2020-10-17,2020-11-05
62aefaab-dc30-4502-b497-33f3d288346b,ZOGG FIRE,Fire,CA,FM,2020-09-28,2020-09-28,NA
1027db82-7fc4-4c52-8cd7-5f8dc7f1eb8e,GLASS FIRE,Fire,CA,FM,2020-09-27,2020-09-27,NA
95d2491f-8028-41c6-b961-a0f5424642fe,GLASS FIRE,Fire,CA,FM,2020-09-27,2020-09-27,NA
51fffcdf-8ed5-4a84-af04-e3d31a9ae929,MULLEN FIRE,Fire,WY,FM,2020-09-26,2020-09-25,2020-10-19
b2be6af8-f21b-4cba-853c-ca3d88e66f62,MULLEN FIRE,Fire,WY,FM,2020-09-26,2020-09-25,2020-10-19
21a8f9af-7a5f-4cd3-8a38-e51023ab9fc0,BOBCAT FIRE,Fire,CA,FM,2020-09-13,2020-09-13,NA
22f1ad73-1e02-4fbe-96cb-0505bf79eed3,SQF FIRE COMPLEX,Fire,CA,FM,2020-09-13,2020-09-13,NA
538a9e31-2c5e-42f8-b47c-0ea9b5ce667c,BRATTAIN FIRE,Fire,OR,FM,2020-09-12,2020-09-12,2020-09-29
83e615bf-21a1-4a67-b318-f032d8049620,CHEHALEM MOUNTAIN BALD PEAK FIRE,Fire,OR,FM,2020-09-10,2020-09-08,2020-09-15
3b208314-fc29-4034-b7a8-c9c4a6946d19,CHEHALEM MOUNTAIN BALD PEAK FIRE,Fire,OR,FM,2020-09-10,2020-09-08,2020-09-15
2ab42969-9c76-455b-8ce4-6db9e5d8c1d7,CLAKAMAS COUNTY FIRE COMPLEX,Fire,OR,FM,2020-09-10,2020-09-08,2020-10-06
6a015def-c871-4b3a-9efe-c8d1f904aac8,SLATER FIRE,Fire,OR,FM,2020-09-10,2020-09-09,2020-11-03
