disasterNumber,stateCode,incidentType,declarationType,totalNumberIaApproved,totalAmountIhpApproved,totalAmountHaApproved,totalAmountOnaApproved,totalObligatedAmountPa,totalObligatedAmountCatAb,totalObligatedAmountCatC2g,totalObligatedAmountHmgp
5290,AK,Fire,Fire Management,NA,NA,NA,NA,2020055.12,NA,NA,0
5289,NV,Fire,Fire Management,NA,NA,NA,NA,80415.48,NA,NA,0
5287,AK,Fire,Fire Management,NA,NA,NA,NA,7424005.57,100184.24,NA,0
4457,NH,Severe Storm,Major Disaster,NA,NA,NA,NA,3070448.93,117435.25,2634080.56,26879.84
4456,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,6543056.06,25677.44,6470622.2,0
4455,WV,Flood,Major Disaster,NA,NA,NA,NA,4507174.57,451755.61,3737988.84,363002.48
5286,MT,Fire,Fire Management,NA,NA,NA,NA,30622.01,30622.01,NA,500805.09
5285,OR,Fire,Fire Management,NA,NA,NA,NA,8082426.39,0,NA,87039.89
5284,AZ,Fire,Fire Management,NA,NA,NA,NA,264039.14,55841.5,NA,31446
4454,TX,Flood,Major Disaster,NA,NA,NA,NA,NA,NA,NA,626336.06
5283,NV,Fire,Fire Management,NA,NA,NA,NA,186238.57,NA,NA,1520679
4453,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,3905190.62,436668.56,2988065.08,493999.98
3416,LA,Coastal Storm,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4452,OR,Flood,Major Disaster,NA,NA,NA,NA,11035549.54,451105.81,9089045.16,556546
4451,MO,Severe Storm,Major Disaster,NA,NA,NA,NA,78666923.75,17993339.82,53227548.53,28966838.53
3415,CA,Earthquake,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5282,AK,Fire,Fire Management,NA,NA,NA,NA,12821517.15,120478.47,NA,0
4449,KS,Severe Storm,Major Disaster,NA,NA,NA,NA,58519293.8,6810863.19,50038389.76,3308052.35
4448,SD,Severe Storm,Major Disaster,NA,NA,NA,NA,902522.43,251829.49,632652.34,0
4450,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,4957016.32,2447823.13,2145654.27,0
4447,OH,Tornado,Major Disaster,NA,NA,NA,NA,10839644.55,9670789.12,713193,3623824.83
4446,NE,Flood,Major Disaster,NA,NA,NA,NA,1088251.32,110329.54,977921.78,0
4445,VT,Flood,Major Disaster,NA,NA,NA,NA,8757908.09,168922.74,7481292.05,846745.12
4444,ND,Flood,Major Disaster,NA,NA,NA,NA,8253412.84,2262133.44,4950991.14,1561029.15
4443,ID,Flood,Major Disaster,NA,NA,NA,NA,4373998.37,108581.99,4051699.06,292395.76
4442,MN,Flood,Major Disaster,NA,NA,NA,NA,80262678.19,5597781.54,67388713.58,8582084.11
4441,AR,Flood,Major Disaster,NA,NA,NA,NA,55387535.22,10121153.86,39494276.56,7399827.03
4440,SD,Flood,Major Disaster,NA,NA,NA,NA,59200170.41,5035823.13,52683301.83,8129459.05
4439,LA,Severe Storm,Major Disaster,NA,NA,NA,NA,23014456.22,1955620.73,17972481.82,0
4438,OK,Severe Storm,Major Disaster,NA,NA,NA,NA,66495311.56,8171997.4,54005336.49,9615109.85
3414,AR,Flood,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3413,LA,Flood,Emergency,NA,NA,NA,NA,0,0,NA,NA
3411,OK,Flood,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4437,MT,Flood,Major Disaster,NA,NA,NA,NA,1007425.43,17520.99,873961.52,139036.79
4436,AZ,Severe Storm,Major Disaster,NA,NA,NA,NA,555139.68,549348.57,NA,0
4435,MO,Flood,Major Disaster,NA,NA,NA,NA,23076535.1,5259590.07,15386517.5,7132699.78
4434,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,33289020.76,7832073.66,23368581.77,4968343.35
4433,GU,Typhoon,Major Disaster,NA,NA,NA,NA,719323.89,475501.16,169328.22,146376.8
4432,OR,Severe Storm,Major Disaster,NA,NA,NA,NA,31280554.73,6375480.17,21911774.96,4698524.7
4431,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,36153806.72,4561235.51,29419573.39,3374808.04
4430,IA,Flood,Major Disaster,NA,NA,NA,NA,608245.95,10137.9,545545.88,0
4429,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,30942558.89,2635848.36,27435214.92,3543963.5
4428,KY,Severe Storm,Major Disaster,NA,NA,NA,NA,77672436.72,1034169.08,71572886.6,6926483.95
4427,TN,Flood,Major Disaster,NA,NA,NA,NA,22018446.32,3002734.34,16826147.8,3032012.5
4426,AL,Severe Storm,Major Disaster,NA,NA,NA,NA,7322498.11,1185473.07,5473898.32,706817.25
4425,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,497676.7,412228.74,85447.96,206208
4424,OH,Flood,Major Disaster,NA,NA,NA,NA,59130335.05,805487.8,55207293.89,9719813.64
4423,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,2087710.97,258132.31,1829578.66,40833
4422,CA,Severe Storm,Major Disaster,NA,NA,NA,NA,540891.07,21703.5,477681.07,0
4421,IA,Flood,Major Disaster,NA,NA,NA,NA,169919093.5,23568060.9,134750598.8,37440941.69
4420,NE,Flood,Major Disaster,NA,NA,NA,NA,512154471.7,51956853.79,428060359.1,40734801.72
5281,NM,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,525662.15
4419,AL,Tornado,Major Disaster,NA,NA,NA,NA,3480384.35,3138999.08,NA,547969.64
4418,WA,Severe Storm,Major Disaster,NA,NA,NA,NA,13944545.06,922370.28,12258136.57,1496076
4417,KS,Severe Storm,Major Disaster,NA,NA,NA,NA,3509374.38,384082.78,2759117.06,231223.12
4416,TX,Flood,Major Disaster,NA,NA,NA,NA,51068778.89,8167561.24,37834184.22,5552085.85
4415,MS,Severe Storm,Major Disaster,NA,NA,NA,NA,6319648.83,423536.43,5306457.93,1060049.39
4414,MN,Flood,Major Disaster,NA,NA,NA,NA,9849973.82,158236.74,9134824.95,1252417.77
4412,NC,Hurricane,Major Disaster,NA,NA,NA,NA,21092406.82,4977622.06,13574602.28,3113457.3
4413,AK,Earthquake,Major Disaster,NA,NA,NA,NA,163506275.9,15285492.66,129967686.3,4880066.89
4411,VA,Hurricane,Major Disaster,NA,NA,NA,NA,38431280.65,4872569.89,28250245.91,3682434.73
4410,CT,Severe Storm,Major Disaster,NA,NA,NA,NA,3002175.54,37890.71,2504964.91,506131
3410,AK,Earthquake,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4409,AZ,Severe Storm,Major Disaster,NA,NA,NA,NA,4260174.04,98165.18,4162008.86,0
4408,PA,Severe Storm,Major Disaster,NA,NA,NA,NA,77582665.67,5679966.25,66779701,9433399.42
4407,CA,Fire,Major Disaster,NA,NA,NA,NA,1271859172,1005247171,153060755.8,132760454.2
3409,CA,Fire,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
5280,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5279,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5278,CA,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,1251229.55
4406,AL,Hurricane,Major Disaster,NA,NA,NA,NA,18267446.63,10539014.19,6013950.84,955070.68
4405,MT,Flood,Major Disaster,NA,NA,NA,NA,1648424.91,421455.69,1169974.72,24179.42
4404,MP,Typhoon,Major Disaster,NA,NA,NA,NA,281810392.7,56712367.68,196409085.1,13959805.11
3408,MP,Typhoon,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4403,KS,Severe Storm,Major Disaster,NA,NA,NA,NA,4545539.42,393656.43,3687431.4,602356.25
4402,WI,Flood,Major Disaster,NA,NA,NA,NA,38405764.02,5437591.72,29614589.21,10723552.42
4401,VA,Hurricane,Major Disaster,NA,NA,NA,NA,33230394.25,28416579.81,2828310.95,5163954.59
4400,GA,Hurricane,Major Disaster,NA,NA,NA,NA,141379296.4,62737713.01,67669760.28,16393613.48
3407,AL,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4399,FL,Hurricane,Major Disaster,NA,NA,NA,NA,2126319925,1386212824,639856280.8,107132994.1
4398,GU,Typhoon,Major Disaster,NA,NA,NA,NA,8536612.24,2195189.18,5414635.78,1333445.43
4397,NY,Flood,Major Disaster,NA,NA,NA,NA,31101892.12,4293832.85,23625720.23,3105664.25
4396,MP,Typhoon,Major Disaster,NA,NA,NA,NA,5661152.47,888204.12,4174999,362530.85
4395,HI,Hurricane,Major Disaster,NA,NA,NA,NA,18790525.87,1427710.29,15405143.64,3679574
5277,UT,Fire,Fire Management,NA,NA,NA,NA,NA,NA,NA,0
5276,WY,Fire,Fire Management,NA,NA,NA,NA,2879115.57,NA,NA,0
4394,SC,Hurricane,Major Disaster,NA,NA,NA,NA,102892701,62621138.8,29348358.23,14310539.78
4393,NC,Hurricane,Major Disaster,NA,NA,NA,NA,787436712.9,357272028.5,350952099.8,105379829.1
3402,MP,Typhoon,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
3400,SC,Hurricane,Emergency,NA,NA,NA,NA,NA,NA,NA,NA
4391,AK,Flood,Major Disaster,NA,NA,NA,NA,0,NA,0,0
4390,MN,Flood,Major Disaster,NA,NA,NA,NA,25494156.56,2185869.03,21061277.58,3610529.06
5275,OR,Fire,Fire Management,NA,NA,NA,NA,718000.19,3415.84,NA,0
4389,AZ,Flood,Major Disaster,NA,NA,NA,NA,515561.24,159523.4,356037.84,0
4388,MT,Flood,Major Disaster,NA,NA,NA,NA,1859316.92,91774.39,1664254.84,72505.22
4387,NE,Severe Storm,Major Disaster,NA,NA,NA,NA,2577582.63,183982.03,2319673.96,36485.29
5274,OR,Fire,Fire Management,NA,NA,NA,NA,1433413.33,NA,NA,0
4385,CT,Tornado,Major Disaster,NA,NA,NA,NA,19834051.28,15778457.82,1832072.92,0
4384,WA,Flood,Major Disaster,NA,NA,NA,NA,464404.17,342593.57,104310.6,0
5273,WA,Fire,Fire Management,NA,NA,NA,NA,27757.8,27757.8,NA,0
5272,SD,Fire,Fire Management,NA,NA,NA,NA,665424.5,NA,NA,0
5271,WA,Fire,Fire Management,NA,NA,NA,NA,30025.07,10766.47,NA,0
5270,WA,Fire,Fire Management,NA,NA,NA,NA,63576.93,61206.73,NA,0
5269,WA,Fire,Fire Management,NA,NA,NA,NA,66098.71,15244.6,NA,0
4383,WI,Flood,Major Disaster,NA,NA,NA,NA,8444788.54,499059.75,7012856.62,2075487.31
5268,CA,Fire,Fire Management,NA,NA,NA,NA,5541256.05,577452.37,NA,0
5267,UT,Fire,Fire Management,NA,NA,NA,NA,1156852.28,969,NA,0
4382,CA,Fire,Major Disaster,NA,NA,NA,NA,334083361.2,296174300.6,12109479.66,22375620.39
